CO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_DEFICIENCIA_FISICA,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_VISAO_MONOCULAR,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_TEMPO_ADICIONAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
1400100,14,RR,21,Maculino,Solteiro(a),Preta,Brasileiro(a),1501402.0,Belém,15.0,PA,Já concluí o Ensino Médio,2015,Não respondeu,,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,1400100,Boa Vista,14,RR,Rosa,Rosa,Rosa,Rosa,"538,1","578,6","579,6","749,3",DECAADCCEBACCECBEBBDECDBCADBBDEDCDBBACBECDCDB,EABCCEDBADBDABAAADDBCAAACEBEDCCABCDBEAEABCDCE,ADBBE99999AABCBCDAAEABDCBDADDCADDCBCDEDBCEEDADDBDA,AACDBBECEEAADBDBABCBBDCACEDCABCADCACBDEDEDBEA,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,160,120,140,200,160,780,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),1,"De R$ 4.990,01 até R$ 5.988,00",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um","Sim, um",Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,"Sim, um",Sim
1400100,14,RR,18,Feminino,Solteiro(a),Branca,Brasileiro(a),1400100.0,Boa Vista,14.0,RR,Já concluí o Ensino Médio,2018,Não respondeu,,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,1400100,Boa Vista,14,RR,Amarela,Azul,Azul,Amarela,"530,7","545,0","562,0","581,8",DAECEEACEEDDECDDEABAABCDBCBDBBBDDEBCBCBEDBBAC,CDBDABACDBDCEBEEEACACECDEDDCBABCDACEBCBDEDEEB,ADCBE99999CCBAABDBDCAACECBDEBBDCBDCADDAAADDADDECDE,BACECBAADBCCADCDCDCCDDBACEBBCAADEDEBCEBCDEBAA,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,160,200,180,200,160,900,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 5 (Verificar a definição no dicionário de dados),4,"De R$ 2.994,01 até R$ 3.992,00",Não,"Sim, dois","Sim, três","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, três",Sim,Não,"Sim, quatro ou mais",Sim,"Sim, três",Sim
2502151,25,PB,21,Feminino,Solteiro(a),Parda,Brasileiro(a),2504009.0,Campina Grande,25.0,PB,Já concluí o Ensino Médio,2017,Não respondeu,Ensino Regular,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2504009,Campina Grande,25,PB,Amarela,Branca,Branca,Amarela,"609,3","575,6","554,9","647,8",CEEAADAEEBABECDADEBEACDEDDADEACABCDCCCBADADEB,ACDCAEECABABCDBBECBABBABDCAABCDCAEEACCDBABADD,DBEDE99999BBCBCAEDEADADDDAACDECDAAEBCBCAAECDECAEEB,BEBECBABDBABABCCBDDAAEAECAEBBBACEAECCAAADECBA,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,160,80,120,120,120,600,Não completou a 4ª série/5º ano do ensino fundamental,Não completou a 4ª série/5º ano do ensino fundamental,Grupo 1 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),6,"Até R$ 998,00",Não,"Sim, um","Sim, três","Sim, um",Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Não
1400100,14,RR,19,Feminino,Solteiro(a),Parda,Brasileiro(a),1400100.0,Boa Vista,14.0,RR,Já concluí o Ensino Médio,2017,Não respondeu,Ensino Regular,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,1400100,Boa Vista,14,RR,Rosa,Branca,Branca,Rosa,"606,3","582,9","606,2","628,9",DEADBBECEAEEDADCCCBBBABDAEDBACDEBBADCECEDDCDD,DCCCEABCDBACCDEEAABCBBABCEBAAEACAACAEEDBBDEDA,EBBAD99999BACDCECAEBAAADDADEDECBDBDCBCCAAECECBAECE,AAABECBCBEEADDCBABCCBDAACEBEBCCAEACBEBEEDBCEE,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,160,160,140,140,120,720,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Não Sei,Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 1.497,01 até R$ 1.996,00",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Sim
2502151,25,PB,25,Feminino,Solteiro(a),Parda,Brasileiro(a),2504009.0,Campina Grande,25.0,PB,Já concluí o Ensino Médio,2014,Não respondeu,Ensino Regular,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2504009,Campina Grande,25,PB,Cinza,Rosa,Rosa,Cinza,"432,5","474,3","436,0","477,2",BBCDCCACDECCBCCBBDBBBCACCCCCDBCCBCBBDCBBBCCBC,CBBCBCBDDDBACBDBBBCBABEDCDCDCCBBCDCBACDABBCDE,CDCBD99999EDCCBCE.CCCBEBDEABEACACECCDCBBDCCCEECAAB,DCBEDCEADDDCCCCABCBBCCCBBBCDBCCCBAABBBBBCCCEA,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,40,40,40,0,0,120,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental",Grupo 1 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),7,"De R$ 998,01 até R$ 1.497,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,Não,Não
1400100,14,RR,18,Feminino,Solteiro(a),Parda,Brasileiro(a),1400100.0,Boa Vista,14.0,RR,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Privada,Ensino Regular,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,1400100,Boa Vista,14,RR,Cinza,Amarela,Amarela,Cinza,"496,4","602,8","544,2","694,8",DAACCADEDDCEBBEABEBDEABBBBCCEBBDBEDCBBDECBAED,ABACADDDBEEEDCDADCBEEDBBBACCEACCBBEBCECAADAAC,CBEDA99999ECDAAECEECCAADEEDABCCBEBACBBBEBCBDCDADED,DDCBABCBBDBDCEBDCABBBDEAEDCEACBAEACDBADECADCA,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,160,180,180,200,200,920,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 7.984,01 até R$ 8.982,00",Não,"Sim, três","Sim, três","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Sim,"Sim, três",Não,Não,"Sim, quatro ou mais",Não,"Sim, um",Sim
1400100,14,RR,18,Feminino,Solteiro(a),Branca,Brasileiro(a),1400100.0,Boa Vista,14.0,RR,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,14001209.0,1400100.0,Boa Vista,14.0,RR,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,1400100,Boa Vista,14,RR,Azul,Amarela,Amarela,Azul,"434,8","475,3","484,9","516,0",DEAECCDEDCBDCBEADBDCBEAECBCDABABCCBCDADADBABC,ABCEBDBACAABCCABCECCEDACBAADECECBCEEBCDBEABAE,DBABD99999AEBEDCECDECACDBBEBBDAAABDADDCBECCDAADACD,BEBEDCBBACDBDAEDBBCDDDBECDABCCECEBDADBDBDAACB,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,120,120,100,120,100,560,Não sei,Não sei,Não Sei,Grupo 4 (Verificar a definição no dicionário de dados),2,"De R$ 2.495,01 até R$ 2.994,00",Não,"Sim, dois","Sim, dois",Não,Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, dois",Sim,Sim,"Sim, dois",Não,"Sim, um",Sim
1400100,14,RR,18,Feminino,Solteiro(a),Parda,Brasileiro(a),1400100.0,Boa Vista,14.0,RR,Já concluí o Ensino Médio,2018,Não respondeu,Ensino Regular,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,1400100,Boa Vista,14,RR,Amarela,Rosa,Rosa,Amarela,"602,9","637,5","592,4","585,8",BEEAEEBCECEDEADCBECEBABCDDCBBBCAACCCDCADBDAAB,AEACEEDBADBACBABECABCDEACCBBEBCACACAEEDBCADCB,ADBBE99999BDCCBCEAAECBDEADAAECDEEEDCEEAEBAECBDBEAC,CCAEABBADDDBBDBBCDCDABCABDABCADBEAABCEABEBBCB,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,160,200,200,180,160,900,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 998,01 até R$ 1.497,00",Não,"Sim, um","Sim, dois","Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, dois",Sim,Não,"Sim, três",Não,"Sim, um",Sim
1400100,14,RR,20,Maculino,Solteiro(a),Parda,Brasileiro(a),1400100.0,Boa Vista,14.0,RR,Já concluí o Ensino Médio,2016,Não respondeu,,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,1400100,Boa Vista,14,RR,Rosa,Amarela,Amarela,Rosa,"583,0","652,2","621,4","736,0",DEDBBCAAEDBEDECCDDBBEACEADAABDBEBDBDEBCDCBCCB,CBCBADBBCEBEBCCADCBEEDBBAAADAAADBBABCCEABDCEC,BBEDA99999CDABDECEBCCAECEEEBCCCDEBAAADECECDECAADCA,AABDCBECEBEEDDBBABCBBDDACEBEBCBACCBCCDEAEBBDA,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,160,140,140,140,120,700,"Completou o Ensino Médio, mas não completou a Faculdade",Completou a Pós-graduação,Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),4,"De R$ 7.984,01 até R$ 8.982,00",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, três",Não,Sim,"Sim, quatro ou mais",Sim,"Sim, dois",Sim
2502151,25,PB,17,Feminino,Solteiro(a),Branca,Brasileiro(a),2504009.0,Campina Grande,25.0,PB,Já concluí o Ensino Médio,2018,Não respondeu,,,,,,,,,,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2504009,Campina Grande,25,PB,Cinza,Branca,Branca,Cinza,"582,1","620,5","544,4","656,8",AACBBAABACBCBBCBAEBEACBDBCACEBABBBEBEADEADBAD,ACECEEBCABCCADBDEACCCEEBDEBADCCBBACBCADBBEADB,ADBAD99999BACBCEEDDBAAADCBACAECEAEBDBDEAEEEEEABEEB,DBCBAECBADEACEAECEBCAAEBEBCBBCACBDCBBBABCECCB,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,160,180,200,180,200,920,Não completou a 4ª série/5º ano do ensino fundamental,Não completou a 4ª série/5º ano do ensino fundamental,Grupo 1 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),5,"Até R$ 998,00",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um","Sim, um",Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,"Sim, um",Sim
