NU_NOTA_REDACAO,Q024
780,"Sim, um"
900,"Sim, três"
600,Não
720,"Sim, um"
120,Não
920,"Sim, um"
560,"Sim, um"
900,"Sim, um"
700,"Sim, dois"
920,"Sim, um"
940,"Sim, dois"
520,Não
680,Não
720,Não
740,"Sim, quatro ou mais"
560,Não
660,"Sim, um"
720,"Sim, dois"
760,"Sim, um"
460,"Sim, um"
420,"Sim, um"
840,"Sim, um"
560,Não
600,"Sim, um"
620,"Sim, um"
640,Não
640,"Sim, um"
300,Não
600,"Sim, três"
500,"Sim, um"
920,"Sim, um"
760,"Sim, um"
680,"Sim, quatro ou mais"
560,"Sim, um"
600,Não
680,"Sim, dois"
600,"Sim, um"
520,Não
840,"Sim, dois"
600,"Sim, um"
620,"Sim, quatro ou mais"
460,Não
540,Não
420,Não
600,Não
780,"Sim, um"
800,"Sim, um"
480,Não
320,"Sim, um"
820,"Sim, quatro ou mais"
460,"Sim, um"
280,"Sim, um"
720,"Sim, um"
600,"Sim, um"
840,"Sim, dois"
840,"Sim, dois"
480,"Sim, um"
640,"Sim, três"
540,Não
560,"Sim, um"
860,"Sim, dois"
620,"Sim, um"
780,"Sim, um"
880,"Sim, três"
540,Não
580,"Sim, um"
800,"Sim, três"
300,Não
700,"Sim, um"
840,"Sim, um"
600,"Sim, dois"
660,Não
960,"Sim, dois"
580,"Sim, quatro ou mais"
600,Não
700,"Sim, três"
560,"Sim, um"
580,Não
300,Não
260,"Sim, um"
900,"Sim, um"
840,Não
500,"Sim, um"
840,"Sim, um"
600,"Sim, um"
640,"Sim, um"
660,Não
660,"Sim, um"
680,"Sim, dois"
600,"Sim, um"
680,"Sim, um"
440,Não
840,"Sim, dois"
680,"Sim, dois"
800,"Sim, três"
820,"Sim, um"
620,"Sim, um"
520,"Sim, um"
620,"Sim, um"
620,"Sim, dois"
640,Não
560,"Sim, três"
840,"Sim, um"
500,"Sim, um"
640,"Sim, dois"
480,Não
760,"Sim, dois"
640,"Sim, três"
720,"Sim, dois"
680,Não
580,"Sim, dois"
580,Não
800,"Sim, três"
280,"Sim, um"
440,"Sim, dois"
360,"Sim, um"
320,"Sim, um"
820,"Sim, dois"
440,"Sim, um"
720,"Sim, quatro ou mais"
560,"Sim, um"
480,"Sim, um"
600,"Sim, um"
820,"Sim, dois"
900,"Sim, quatro ou mais"
680,Não
720,"Sim, um"
920,"Sim, três"
280,"Sim, dois"
580,"Sim, dois"
680,Não
280,"Sim, dois"
600,Não
820,"Sim, um"
320,"Sim, um"
620,"Sim, dois"
620,Não
480,"Sim, um"
740,"Sim, um"
620,Não
760,"Sim, quatro ou mais"
560,Não
660,"Sim, um"
540,"Sim, um"
880,"Sim, um"
540,"Sim, um"
500,Não
760,Não
740,"Sim, um"
800,Não
520,Não
800,"Sim, um"
520,"Sim, dois"
560,"Sim, um"
880,"Sim, um"
880,"Sim, um"
620,"Sim, um"
640,Não
500,"Sim, um"
560,Não
540,"Sim, um"
340,Não
740,"Sim, dois"
580,"Sim, um"
660,Não
840,"Sim, quatro ou mais"
840,"Sim, um"
320,Não
780,Não
600,"Sim, dois"
480,"Sim, um"
760,"Sim, um"
400,"Sim, um"
760,Não
640,"Sim, um"
880,"Sim, dois"
940,"Sim, um"
560,Não
760,"Sim, um"
740,Não
740,"Sim, dois"
460,"Sim, um"
680,"Sim, dois"
560,Não
400,Não
540,"Sim, um"
740,"Sim, um"
640,"Sim, quatro ou mais"
620,"Sim, um"
620,"Sim, um"
620,"Sim, um"
800,"Sim, um"
580,"Sim, um"
620,"Sim, dois"
460,"Sim, três"
840,"Sim, quatro ou mais"
740,"Sim, um"
740,Não
600,"Sim, um"
540,"Sim, um"
760,Não
540,"Sim, um"
880,"Sim, dois"
600,"Sim, três"
580,"Sim, um"
500,"Sim, um"
560,Não
720,"Sim, dois"
560,"Sim, quatro ou mais"
460,"Sim, um"
840,Não
540,Não
600,Não
580,Não
900,"Sim, um"
460,"Sim, um"
760,"Sim, um"
560,Não
500,Não
580,Não
820,"Sim, um"
620,"Sim, dois"
640,"Sim, um"
620,"Sim, três"
660,"Sim, dois"
640,"Sim, um"
900,"Sim, um"
620,Não
840,"Sim, um"
660,Não
660,Não
660,Não
580,Não
580,"Sim, um"
640,Não
720,Não
440,"Sim, um"
520,"Sim, um"
740,Não
800,"Sim, dois"
760,"Sim, dois"
720,"Sim, três"
880,Não
500,Não
620,Não
780,Não
600,"Sim, um"
660,"Sim, um"
