NU_NOTA_REDACAO,Q024
700,"Sim, dois"
940,"Sim, dois"
720,"Sim, dois"
680,"Sim, dois"
840,"Sim, dois"
840,"Sim, dois"
840,"Sim, dois"
860,"Sim, dois"
600,"Sim, dois"
960,"Sim, dois"
680,"Sim, dois"
840,"Sim, dois"
680,"Sim, dois"
620,"Sim, dois"
640,"Sim, dois"
760,"Sim, dois"
720,"Sim, dois"
580,"Sim, dois"
440,"Sim, dois"
820,"Sim, dois"
820,"Sim, dois"
280,"Sim, dois"
580,"Sim, dois"
280,"Sim, dois"
620,"Sim, dois"
520,"Sim, dois"
740,"Sim, dois"
600,"Sim, dois"
880,"Sim, dois"
740,"Sim, dois"
680,"Sim, dois"
620,"Sim, dois"
880,"Sim, dois"
720,"Sim, dois"
620,"Sim, dois"
660,"Sim, dois"
800,"Sim, dois"
760,"Sim, dois"
920,"Sim, dois"
300,"Sim, dois"
560,"Sim, dois"
740,"Sim, dois"
840,"Sim, dois"
480,"Sim, dois"
700,"Sim, dois"
320,"Sim, dois"
720,"Sim, dois"
800,"Sim, dois"
820,"Sim, dois"
480,"Sim, dois"
560,"Sim, dois"
600,"Sim, dois"
960,"Sim, dois"
740,"Sim, dois"
840,"Sim, dois"
600,"Sim, dois"
340,"Sim, dois"
880,"Sim, dois"
680,"Sim, dois"
560,"Sim, dois"
320,"Sim, dois"
900,"Sim, dois"
900,"Sim, dois"
520,"Sim, dois"
720,"Sim, dois"
360,"Sim, dois"
620,"Sim, dois"
680,"Sim, dois"
940,"Sim, dois"
540,"Sim, dois"
620,"Sim, dois"
700,"Sim, dois"
440,"Sim, dois"
760,"Sim, dois"
580,"Sim, dois"
520,"Sim, dois"
720,"Sim, dois"
580,"Sim, dois"
640,"Sim, dois"
860,"Sim, dois"
720,"Sim, dois"
560,"Sim, dois"
820,"Sim, dois"
920,"Sim, dois"
600,"Sim, dois"
540,"Sim, dois"
720,"Sim, dois"
800,"Sim, dois"
660,"Sim, dois"
720,"Sim, dois"
540,"Sim, dois"
660,"Sim, dois"
940,"Sim, dois"
580,"Sim, dois"
600,"Sim, dois"
720,"Sim, dois"
920,"Sim, dois"
760,"Sim, dois"
640,"Sim, dois"
740,"Sim, dois"
340,"Sim, dois"
860,"Sim, dois"
580,"Sim, dois"
840,"Sim, dois"
940,"Sim, dois"
800,"Sim, dois"
600,"Sim, dois"
880,"Sim, dois"
820,"Sim, dois"
920,"Sim, dois"
320,"Sim, dois"
720,"Sim, dois"
800,"Sim, dois"
740,"Sim, dois"
660,"Sim, dois"
860,"Sim, dois"
640,"Sim, dois"
600,"Sim, dois"
800,"Sim, dois"
580,"Sim, dois"
500,"Sim, dois"
900,"Sim, dois"
900,"Sim, dois"
700,"Sim, dois"
680,"Sim, dois"
600,"Sim, dois"
740,"Sim, dois"
840,"Sim, dois"
740,"Sim, dois"
540,"Sim, dois"
920,"Sim, dois"
880,"Sim, dois"
880,"Sim, dois"
640,"Sim, dois"
740,"Sim, dois"
880,"Sim, dois"
880,"Sim, dois"
720,"Sim, dois"
640,"Sim, dois"
580,"Sim, dois"
700,"Sim, dois"
580,"Sim, dois"
920,"Sim, dois"
520,"Sim, dois"
640,"Sim, dois"
360,"Sim, dois"
540,"Sim, dois"
620,"Sim, dois"
920,"Sim, dois"
740,"Sim, dois"
660,"Sim, dois"
