NU_NOTA_REDACAO,Q024
600,Não
120,Não
520,Não
680,Não
720,Não
560,Não
560,Não
640,Não
300,Não
600,Não
520,Não
460,Não
540,Não
420,Não
600,Não
480,Não
540,Não
540,Não
300,Não
660,Não
600,Não
580,Não
300,Não
840,Não
660,Não
440,Não
640,Não
480,Não
680,Não
580,Não
680,Não
680,Não
600,Não
620,Não
620,Não
560,Não
500,Não
760,Não
800,Não
520,Não
640,Não
560,Não
340,Não
660,Não
320,Não
780,Não
760,Não
560,Não
740,Não
560,Não
400,Não
740,Não
760,Não
560,Não
840,Não
540,Não
600,Não
580,Não
560,Não
500,Não
580,Não
620,Não
660,Não
660,Não
660,Não
580,Não
640,Não
720,Não
740,Não
880,Não
500,Não
620,Não
780,Não
360,Não
520,Não
980,Não
500,Não
520,Não
400,Não
560,Não
520,Não
620,Não
420,Não
500,Não
600,Não
600,Não
640,Não
840,Não
560,Não
700,Não
500,Não
420,Não
640,Não
480,Não
540,Não
600,Não
700,Não
900,Não
600,Não
480,Não
520,Não
420,Não
600,Não
520,Não
620,Não
420,Não
680,Não
520,Não
640,Não
680,Não
760,Não
880,Não
360,Não
480,Não
580,Não
540,Não
340,Não
840,Não
880,Não
760,Não
460,Não
500,Não
840,Não
700,Não
400,Não
720,Não
600,Não
600,Não
660,Não
600,Não
700,Não
640,Não
800,Não
340,Não
540,Não
640,Não
660,Não
540,Não
560,Não
560,Não
820,Não
480,Não
880,Não
520,Não
920,Não
540,Não
500,Não
900,Não
640,Não
740,Não
440,Não
680,Não
480,Não
580,Não
560,Não
500,Não
760,Não
600,Não
480,Não
540,Não
620,Não
460,Não
920,Não
520,Não
640,Não
760,Não
580,Não
460,Não
500,Não
580,Não
640,Não
640,Não
740,Não
620,Não
860,Não
440,Não
580,Não
500,Não
580,Não
580,Não
920,Não
580,Não
800,Não
400,Não
700,Não
520,Não
720,Não
580,Não
560,Não
560,Não
400,Não
660,Não
500,Não
580,Não
540,Não
320,Não
340,Não
680,Não
600,Não
480,Não
600,Não
640,Não
580,Não
820,Não
820,Não
580,Não
320,Não
640,Não
700,Não
700,Não
480,Não
580,Não
660,Não
660,Não
640,Não
640,Não
440,Não
540,Não
420,Não
820,Não
760,Não
760,Não
380,Não
640,Não
480,Não
640,Não
640,Não
480,Não
680,Não
280,Não
480,Não
580,Não
760,Não
240,Não
480,Não
600,Não
980,Não
800,Não
720,Não
320,Não
560,Não
600,Não
500,Não
380,Não
680,Não
800,Não
560,Não
400,Não
600,Não
660,Não
420,Não
540,Não
800,Não
720,Não
600,Não
420,Não
540,Não
800,Não
880,Não
740,Não
720,Não
660,Não
520,Não
580,Não
540,Não
600,Não
480,Não
460,Não
500,Não
520,Não
620,Não
500,Não
960,Não
440,Não
900,Não
600,Não
820,Não
840,Não
640,Não
900,Não
560,Não
420,Não
500,Não
320,Não
620,Não
640,Não
540,Não
540,Não
220,Não
500,Não
800,Não
560,Não
320,Não
340,Não
700,Não
680,Não
660,Não
800,Não
580,Não
800,Não
540,Não
560,Não
700,Não
580,Não
