NU_NOTA_REDACAO,Q024
900,"Sim, três"
600,"Sim, três"
640,"Sim, três"
880,"Sim, três"
800,"Sim, três"
700,"Sim, três"
800,"Sim, três"
560,"Sim, três"
640,"Sim, três"
800,"Sim, três"
920,"Sim, três"
460,"Sim, três"
600,"Sim, três"
620,"Sim, três"
720,"Sim, três"
880,"Sim, três"
640,"Sim, três"
660,"Sim, três"
820,"Sim, três"
620,"Sim, três"
620,"Sim, três"
820,"Sim, três"
720,"Sim, três"
680,"Sim, três"
720,"Sim, três"
660,"Sim, três"
540,"Sim, três"
940,"Sim, três"
660,"Sim, três"
600,"Sim, três"
900,"Sim, três"
760,"Sim, três"
800,"Sim, três"
780,"Sim, três"
700,"Sim, três"
840,"Sim, três"
820,"Sim, três"
840,"Sim, três"
720,"Sim, três"
800,"Sim, três"
780,"Sim, três"
540,"Sim, três"
940,"Sim, três"
620,"Sim, três"
840,"Sim, três"
700,"Sim, três"
400,"Sim, três"
720,"Sim, três"
760,"Sim, três"
940,"Sim, três"
640,"Sim, três"
380,"Sim, três"
720,"Sim, três"
720,"Sim, três"
980,"Sim, três"
340,"Sim, três"
820,"Sim, três"
340,"Sim, três"
680,"Sim, três"
740,"Sim, três"
