NU_NOTA_REDACAO,Q025
780,Sim
900,Sim
600,Não
720,Sim
120,Não
920,Sim
560,Sim
900,Sim
700,Sim
920,Sim
940,Sim
520,Não
680,Sim
720,Não
740,Sim
560,Não
660,Sim
720,Sim
760,Sim
460,Sim
420,Sim
840,Sim
560,Sim
600,Sim
620,Sim
640,Sim
640,Sim
300,Sim
600,Sim
500,Sim
920,Sim
760,Sim
680,Sim
560,Sim
600,Não
680,Sim
600,Não
520,Sim
840,Sim
600,Sim
620,Sim
460,Não
540,Sim
420,Não
600,Não
780,Sim
800,Sim
480,Sim
320,Sim
820,Sim
460,Não
280,Sim
720,Sim
600,Sim
840,Sim
840,Sim
480,Sim
640,Sim
540,Não
560,Sim
860,Sim
620,Sim
780,Sim
880,Sim
540,Não
580,Sim
800,Sim
300,Não
700,Sim
840,Sim
600,Sim
660,Sim
960,Sim
580,Sim
600,Sim
700,Sim
560,Sim
580,Não
300,Não
260,Sim
900,Não
840,Sim
500,Sim
840,Sim
600,Sim
640,Sim
660,Sim
660,Sim
680,Sim
600,Sim
680,Sim
440,Não
840,Sim
680,Sim
800,Sim
820,Sim
620,Sim
520,Não
620,Sim
620,Sim
640,Sim
560,Sim
840,Sim
500,Sim
640,Sim
480,Sim
760,Sim
640,Sim
720,Sim
680,Não
580,Sim
580,Não
800,Sim
280,Sim
440,Sim
360,Sim
320,Sim
820,Sim
440,Sim
720,Sim
560,Sim
480,Sim
600,Sim
820,Sim
900,Sim
680,Não
720,Sim
920,Sim
280,Sim
580,Sim
680,Não
280,Sim
600,Sim
820,Sim
320,Sim
620,Sim
620,Sim
480,Sim
740,Sim
620,Sim
760,Sim
560,Sim
660,Sim
540,Sim
880,Sim
540,Não
500,Sim
760,Não
740,Sim
800,Sim
520,Sim
800,Sim
520,Sim
560,Sim
880,Sim
880,Sim
620,Sim
640,Sim
500,Sim
560,Sim
540,Sim
340,Não
740,Sim
580,Sim
660,Sim
840,Sim
840,Sim
320,Não
780,Sim
600,Sim
480,Sim
760,Sim
400,Sim
760,Não
640,Sim
880,Sim
940,Sim
560,Sim
760,Sim
740,Sim
740,Sim
460,Sim
680,Sim
560,Não
400,Não
540,Sim
740,Sim
640,Sim
620,Não
620,Sim
620,Sim
800,Sim
580,Sim
620,Sim
460,Sim
840,Sim
740,Sim
740,Sim
600,Sim
540,Sim
760,Sim
540,Sim
880,Sim
600,Sim
580,Sim
500,Sim
560,Sim
720,Sim
560,Sim
460,Sim
840,Sim
540,Sim
600,Sim
580,Não
900,Sim
460,Sim
760,Sim
560,Não
500,Sim
580,Não
820,Sim
620,Sim
640,Sim
620,Sim
660,Sim
640,Sim
900,Sim
620,Sim
840,Não
660,Não
660,Sim
660,Sim
580,Não
580,Sim
640,Não
720,Não
440,Sim
520,Sim
740,Não
800,Sim
760,Sim
720,Sim
880,Não
500,Sim
620,Não
780,Sim
600,Sim
660,Sim
920,Sim
360,Sim
700,Não
520,Sim
660,Sim
660,Sim
300,Sim
560,Sim
980,Sim
500,Sim
720,Sim
900,Sim
520,Não
200,Sim
520,Sim
580,Sim
520,Sim
400,Não
880,Sim
740,Sim
680,Sim
840,Sim
900,Não
480,Sim
800,Sim
880,Sim
560,Sim
480,Sim
520,Sim
580,Sim
620,Sim
700,Sim
420,Sim
440,Sim
700,Sim
660,Sim
