NU_NOTA_REDACAO,Q025
600,Não
120,Não
520,Não
720,Não
560,Não
600,Não
600,Não
460,Não
420,Não
600,Não
460,Não
540,Não
540,Não
300,Não
580,Não
300,Não
900,Não
440,Não
520,Não
680,Não
580,Não
680,Não
680,Não
540,Não
760,Não
340,Não
320,Não
760,Não
560,Não
400,Não
620,Não
580,Não
560,Não
580,Não
840,Não
660,Não
580,Não
640,Não
720,Não
740,Não
880,Não
620,Não
700,Não
520,Não
400,Não
900,Não
620,Não
600,Não
600,Não
560,Não
700,Não
480,Não
880,Não
420,Não
520,Não
520,Não
600,Não
700,Não
460,Não
420,Não
600,Não
520,Não
680,Não
340,Não
520,Não
640,Não
680,Não
760,Não
460,Não
480,Não
540,Não
540,Não
840,Não
880,Não
500,Não
680,Não
600,Não
660,Não
660,Não
600,Não
700,Não
640,Não
520,Não
540,Não
540,Não
560,Não
820,Não
580,Não
520,Não
440,Não
520,Não
640,Não
740,Não
440,Não
580,Não
540,Não
520,Não
540,Não
460,Não
640,Não
460,Não
500,Não
580,Não
640,Não
640,Não
360,Não
760,Não
620,Não
580,Não
580,Não
400,Não
700,Não
760,Não
580,Não
660,Não
500,Não
580,Não
660,Não
340,Não
620,Não
600,Não
640,Não
360,Não
880,Não
500,Não
700,Não
820,Não
580,Não
320,Não
640,Não
700,Não
480,Não
780,Não
580,Não
660,Não
440,Não
540,Não
420,Não
780,Não
380,Não
580,Não
640,Não
640,Não
640,Não
280,Não
580,Não
240,Não
540,Não
980,Não
320,Não
560,Não
520,Não
500,Não
380,Não
560,Não
400,Não
600,Não
420,Não
700,Não
320,Não
600,Não
420,Não
680,Não
480,Não
600,Não
520,Não
440,Não
640,Não
560,Não
900,Não
500,Não
620,Não
760,Não
540,Não
540,Não
220,Não
560,Não
680,Não
800,Não
580,Não
