NU_NOTA_REDACAO,Q024
740,"Sim, quatro ou mais"
680,"Sim, quatro ou mais"
620,"Sim, quatro ou mais"
820,"Sim, quatro ou mais"
580,"Sim, quatro ou mais"
720,"Sim, quatro ou mais"
900,"Sim, quatro ou mais"
760,"Sim, quatro ou mais"
840,"Sim, quatro ou mais"
640,"Sim, quatro ou mais"
840,"Sim, quatro ou mais"
560,"Sim, quatro ou mais"
660,"Sim, quatro ou mais"
900,"Sim, quatro ou mais"
900,"Sim, quatro ou mais"
880,"Sim, quatro ou mais"
560,"Sim, quatro ou mais"
880,"Sim, quatro ou mais"
820,"Sim, quatro ou mais"
640,"Sim, quatro ou mais"
700,"Sim, quatro ou mais"
960,"Sim, quatro ou mais"
620,"Sim, quatro ou mais"
900,"Sim, quatro ou mais"
700,"Sim, quatro ou mais"
700,"Sim, quatro ou mais"
760,"Sim, quatro ou mais"
800,"Sim, quatro ou mais"
660,"Sim, quatro ou mais"
700,"Sim, quatro ou mais"
620,"Sim, quatro ou mais"
620,"Sim, quatro ou mais"
760,"Sim, quatro ou mais"
620,"Sim, quatro ou mais"
320,"Sim, quatro ou mais"
760,"Sim, quatro ou mais"
780,"Sim, quatro ou mais"
720,"Sim, quatro ou mais"
680,"Sim, quatro ou mais"
