NU_NOTA_REDACAO,Q025
780,Sim
900,Sim
720,Sim
920,Sim
560,Sim
900,Sim
700,Sim
920,Sim
940,Sim
680,Sim
740,Sim
660,Sim
720,Sim
760,Sim
460,Sim
420,Sim
840,Sim
560,Sim
600,Sim
620,Sim
640,Sim
640,Sim
300,Sim
600,Sim
500,Sim
920,Sim
760,Sim
680,Sim
560,Sim
680,Sim
520,Sim
840,Sim
600,Sim
620,Sim
540,Sim
780,Sim
800,Sim
480,Sim
320,Sim
820,Sim
280,Sim
720,Sim
600,Sim
840,Sim
840,Sim
480,Sim
640,Sim
560,Sim
860,Sim
620,Sim
780,Sim
880,Sim
580,Sim
800,Sim
700,Sim
840,Sim
600,Sim
660,Sim
960,Sim
580,Sim
600,Sim
700,Sim
560,Sim
260,Sim
840,Sim
500,Sim
840,Sim
600,Sim
640,Sim
660,Sim
660,Sim
680,Sim
600,Sim
680,Sim
840,Sim
680,Sim
800,Sim
820,Sim
620,Sim
620,Sim
620,Sim
640,Sim
560,Sim
840,Sim
500,Sim
640,Sim
480,Sim
760,Sim
640,Sim
720,Sim
580,Sim
800,Sim
280,Sim
440,Sim
360,Sim
320,Sim
820,Sim
440,Sim
720,Sim
560,Sim
480,Sim
600,Sim
820,Sim
900,Sim
720,Sim
920,Sim
280,Sim
580,Sim
280,Sim
600,Sim
820,Sim
320,Sim
620,Sim
620,Sim
480,Sim
740,Sim
620,Sim
760,Sim
560,Sim
660,Sim
540,Sim
880,Sim
500,Sim
740,Sim
800,Sim
520,Sim
800,Sim
520,Sim
560,Sim
880,Sim
880,Sim
620,Sim
640,Sim
500,Sim
560,Sim
540,Sim
740,Sim
580,Sim
660,Sim
840,Sim
840,Sim
780,Sim
600,Sim
480,Sim
760,Sim
400,Sim
640,Sim
880,Sim
940,Sim
560,Sim
760,Sim
740,Sim
740,Sim
460,Sim
680,Sim
540,Sim
740,Sim
640,Sim
620,Sim
620,Sim
800,Sim
580,Sim
620,Sim
460,Sim
840,Sim
740,Sim
740,Sim
600,Sim
540,Sim
760,Sim
540,Sim
880,Sim
600,Sim
580,Sim
500,Sim
560,Sim
720,Sim
560,Sim
460,Sim
840,Sim
540,Sim
600,Sim
900,Sim
460,Sim
760,Sim
500,Sim
820,Sim
620,Sim
640,Sim
620,Sim
660,Sim
640,Sim
900,Sim
620,Sim
660,Sim
660,Sim
580,Sim
440,Sim
520,Sim
800,Sim
760,Sim
720,Sim
500,Sim
780,Sim
600,Sim
660,Sim
920,Sim
360,Sim
520,Sim
660,Sim
660,Sim
300,Sim
560,Sim
980,Sim
500,Sim
720,Sim
900,Sim
200,Sim
520,Sim
580,Sim
520,Sim
880,Sim
740,Sim
680,Sim
840,Sim
480,Sim
800,Sim
880,Sim
560,Sim
480,Sim
520,Sim
580,Sim
620,Sim
700,Sim
420,Sim
440,Sim
700,Sim
660,Sim
500,Sim
580,Sim
220,Sim
800,Sim
320,Sim
480,Sim
720,Sim
460,Sim
640,Sim
540,Sim
660,Sim
720,Sim
940,Sim
800,Sim
600,Sim
640,Sim
700,Sim
680,Sim
840,Sim
560,Sim
460,Sim
660,Sim
700,Sim
820,Sim
500,Sim
740,Sim
700,Sim
720,Sim
820,Sim
560,Sim
540,Sim
480,Sim
480,Sim
560,Sim
640,Sim
820,Sim
480,Sim
760,Sim
500,Sim
