NU_NOTA_REDACAO,Q006
780,"De R$ 4.990,01 até R$ 5.988,00"
900,"De R$ 2.994,01 até R$ 3.992,00"
600,"Até R$ 998,00"
720,"De R$ 1.497,01 até R$ 1.996,00"
120,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 7.984,01 até R$ 8.982,00"
560,"De R$ 2.495,01 até R$ 2.994,00"
900,"De R$ 998,01 até R$ 1.497,00"
700,"De R$ 7.984,01 até R$ 8.982,00"
920,"Até R$ 998,00"
940,"De R$ 4.990,01 até R$ 5.988,00"
520,"Até R$ 998,00"
680,"De R$ 1.996,01 até R$ 2.495,00"
720,"De R$ 4.990,01 até R$ 5.988,00"
740,"De R$ 11.976,01 até R$ 14.970,00"
560,"Até R$ 998,00"
660,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 998,01 até R$ 1.497,00"
760,"Mais de R$ 19.960,00"
460,"Até R$ 998,00"
420,"De R$ 998,01 até R$ 1.497,00"
840,"De R$ 5.988,01 até R$ 6.986,00"
560,"De R$ 1.497,01 até R$ 1.996,00"
600,"De R$ 3.992,01 até R$ 4.990,00"
620,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 1.996,01 até R$ 2.495,00"
300,"De R$ 3.992,01 até R$ 4.990,00"
600,"De R$ 3.992,01 até R$ 4.990,00"
500,"De R$ 1.497,01 até R$ 1.996,00"
920,"De R$ 4.990,01 até R$ 5.988,00"
760,"De R$ 4.990,01 até R$ 5.988,00"
680,"De R$ 9.980,01 até R$ 11.976,00"
560,Nenhuma renda.
600,"Até R$ 998,00"
680,"De R$ 6.986,01 até R$ 7.984,00"
600,"De R$ 3.992,01 até R$ 4.990,00"
520,"De R$ 1.996,01 até R$ 2.495,00"
840,"De R$ 6.986,01 até R$ 7.984,00"
600,"De R$ 2.994,01 até R$ 3.992,00"
620,"Mais de R$ 19.960,00"
460,"De R$ 998,01 até R$ 1.497,00"
540,"De R$ 998,01 até R$ 1.497,00"
420,"Até R$ 998,00"
600,"Até R$ 998,00"
780,"De R$ 1.996,01 até R$ 2.495,00"
800,"De R$ 9.980,01 até R$ 11.976,00"
480,"De R$ 998,01 até R$ 1.497,00"
320,"De R$ 998,01 até R$ 1.497,00"
820,"Mais de R$ 19.960,00"
460,"De R$ 998,01 até R$ 1.497,00"
280,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 1.996,01 até R$ 2.495,00"
600,"De R$ 998,01 até R$ 1.497,00"
840,"De R$ 998,01 até R$ 1.497,00"
840,"Mais de R$ 19.960,00"
480,"De R$ 4.990,01 até R$ 5.988,00"
640,"De R$ 4.990,01 até R$ 5.988,00"
540,"De R$ 1.497,01 até R$ 1.996,00"
560,Nenhuma renda.
860,"Mais de R$ 19.960,00"
620,"De R$ 5.988,01 até R$ 6.986,00"
780,"De R$ 2.495,01 até R$ 2.994,00"
880,"De R$ 5.988,01 até R$ 6.986,00"
540,"Até R$ 998,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
800,"De R$ 14.970,01 até R$ 19.960,00"
300,"Até R$ 998,00"
700,"De R$ 3.992,01 até R$ 4.990,00"
840,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 7.984,01 até R$ 8.982,00"
660,"De R$ 9.980,01 até R$ 11.976,00"
960,"De R$ 4.990,01 até R$ 5.988,00"
